	"Jahr"	"Chorgruppe"	"Probentag"	"Probenzeit"	"Probenort"	"Bermerkung"
		"Vorbereitungschor II"	"MIttwoch"	"15:15 - 16:00"	"Notenbank"	
		"Nachwuchschor I"	"Montag"	"14:30 - 15:30"	"Notenbank"	
		"Nachwuchschor II"	"Mittwoch"	"16:15 - 17:15"	"Notenbank"	
		"Kinderchor I"	"Montag"	"15:45 - 17:00"	"Notenbank"	
		"Kinderchor II"	"Montag"	"17:15 - 18:30"	"Notenbank"	
		"Jugendchor"	"Mittwoch"	"17:30 - 19:30"	"Notenbank"	
		"Jugendkammerchor"	"Montag"	"16:00 - 18:00"	"Notenbank"	
		"Stimmgruppenproben"	"Freitag"	"15:00 - 18:00"	"Notenbank"	
		"Projektchor"	"Montag"	"18:30 - 19:30"	"Notenbank"	
	"Schuljahr 2016/17"	"Vorbereitungschor I & II"	"Mittwoch"	"15:15 - 16:00"	"Notenbank"	
		"Nachwuchschor I"	"Montag"	"14:30 - 15:30"	"Notenbank"	
		"Nachwuchschor II"	"Mittwoch"	"16:15 - 17:15"	"Notenbank"	
		"Kinderchor I"	"Montag"	"15:45 - 17:00"	"Notenbank"	
		"Kinderchor II"	"Montag"	"17:15 - 18:30"	"Notenbank"	
		"Jugendchor"	"Mittwoch"	"17:30 - 19:30"	"Notenbank"	
		"Jugendkammerchor"	"Montag"	"16:00 - 18:00"	"Notenbank"	
		"Stimmgruppenproben"	"Freitag"	"15:00 - 18:00"	"Notenbank"	
		"Projektchor"	"Montag"	"18:45 - 19:45"	"Notenbank"	
